hour,day_of_week,brightness,orientation,internet_connected,wifi_hash,ip_hash,unlock_type_used
0,1,100,flat,True,16d60dd6,e363480c,PIN
0,1,100,vertical,True,16d60dd6,e363480c,PIN
0,1,100,vertical,True,16d60dd6,e363480c,PIN
16,1,100,flat,True,16d60dd6,e363480c,PIN
17,1,100,flat,True,16d60dd6,e363480c,PIN
17,1,100,flat,True,16d60dd6,e363480c,PIN
17,1,100,flat,True,16d60dd6,e363480c,PIN
17,2,100,flat,True,16d60dd6,e363480c,PIN
17,2,100,flat,True,16d60dd6,e363480c,PIN
17,2,100,flat,True,16d60dd6,e363480c,FACE
17,2,100,flat,True,16d60dd6,e363480c,FACE
17,2,100,vertical,True,16d60dd6,e363480c,FACE
17,2,100,vertical,True,16d60dd6,e363480c,FACE
17,2,100,vertical,True,16d60dd6,e363480c,FACE
17,2,100,vertical,True,16d60dd6,e363480c,FACE
17,2,100,vertical,True,16d60dd6,e363480c,FACE
17,2,100,vertical,True,16d60dd6,e363480c,FACE
17,2,100,vertical,True,16d60dd6,e363480c,PIN
17,2,100,vertical,True,16d60dd6,e363480c,PIN
17,2,100,vertical,True,16d60dd6,e363480c,FACE
17,2,100,vertical,True,16d60dd6,e363480c,FACE
18,2,100,flat,True,16d60dd6,e363480c,PIN
18,2,100,vertical,True,16d60dd6,e363480c,PIN
14,3,100,flat,False,unknown,unknown,PIN
14,3,100,vertical,False,unknown,unknown,PIN
14,3,100,vertical,False,unknown,unknown,PIN
14,3,100,flat,False,unknown,unknown,PIN
14,3,100,vertical,False,unknown,unknown,PIN
14,3,100,vertical,False,unknown,unknown,PIN
14,3,100,flat,False,unknown,unknown,PIN
14,3,100,flat,False,unknown,unknown,PIN
14,3,100,vertical,False,unknown,unknown,PIN
14,3,100,vertical,False,2fcdac4a,unknown,PIN
16,3,100,vertical,True,16d60dd6,e363480c,PIN
16,3,100,vertical,True,16d60dd6,e363480c,PIN
16,3,100,vertical,True,16d60dd6,e363480c,PIN
16,3,100,flat,True,16d60dd6,e363480c,PIN
16,3,100,flat,True,16d60dd6,e363480c,PIN
16,3,100,vertical,True,16d60dd6,e363480c,PIN
16,3,100,flat,True,16d60dd6,e363480c,PIN
16,3,100,vertical,True,16d60dd6,e363480c,PIN
16,3,100,vertical,True,16d60dd6,e363480c,PIN
16,3,100,flat,True,16d60dd6,e363480c,PIN
16,3,100,flat,True,16d60dd6,e363480c,PIN
16,3,100,vertical,True,16d60dd6,e363480c,PIN
16,3,100,flat,True,16d60dd6,e363480c,PIN
16,3,100,vertical,True,16d60dd6,e363480c,PIN
16,3,100,vertical,True,16d60dd6,e363480c,PIN
16,3,100,flat,True,16d60dd6,e363480c,PIN
16,3,100,flat,True,16d60dd6,e363480c,PIN
16,3,100,flat,True,16d60dd6,e363480c,PIN
16,3,100,flat,True,16d60dd6,e363480c,FACE
16,3,100,vertical,True,16d60dd6,e363480c,FACE
16,3,100,flat,True,16d60dd6,e363480c,FACE
18,3,100,vertical,True,16d60dd6,e363480c,FACE
18,3,100,vertical,True,16d60dd6,e363480c,FACE
18,3,100,vertical,True,16d60dd6,e363480c,FACE
18,3,100,flat,True,16d60dd6,e363480c,FACE
18,3,100,vertical,True,16d60dd6,e363480c,FACE
18,3,100,flat,True,16d60dd6,e363480c,FACE
18,3,100,flat,True,16d60dd6,e363480c,FACE
18,3,100,flat,True,16d60dd6,e363480c,FACE
18,3,100,flat,True,16d60dd6,e363480c,FACE
18,3,100,flat,True,16d60dd6,e363480c,FACE
0,4,100,vertical,True,16d60dd6,e363480c,FACE
0,4,100,flat,True,16d60dd6,e363480c,FACE
0,4,100,vertical,True,16d60dd6,e363480c,FACE
0,4,100,vertical,True,16d60dd6,e363480c,FACE
10,4,100,vertical,True,unknown,3d0e00cd,FACE
10,4,100,flat,True,unknown,3d0e00cd,FACE
10,4,100,vertical,True,unknown,3d0e00cd,FACE
10,4,100,vertical,True,unknown,3d0e00cd,FACE
10,4,100,flat,True,unknown,3d0e00cd,FACE
13,4,100,flat,True,b9ed5762,fa366f9c,FACE
13,4,100,flat,True,b9ed5762,fa366f9c,FACE
13,4,100,flat,True,b9ed5762,fa366f9c,FACE
13,4,100,flat,True,b9ed5762,fa366f9c,PIN
13,4,100,flat,True,b9ed5762,fa366f9c,PIN
13,4,100,flat,True,b9ed5762,fa366f9c,FACE
